esiv,react_volume_overshoot,img_overshoot,wash_overshoot,quencher_period,well_plate,AP,SP,Img,quencher,total_wells_req,plates_req,largest_reservoir,waste_mL
800.0,1.15,3.05,2.15,20.0,1500.0,40,40,80,2,162,2.0,680,1681
900.0,1.15,3.05,2.15,20.0,1500.0,40,40,80,2,162,2.0,762,1846
1000.0,1.15,3.05,2.15,20.0,1500.0,40,40,100,2,182,2.0,844,2010
400.0,1.15,2.05,2.15,20.0,1700.0,20,20,40,1,81,1.0,352,1007
500.0,1.15,2.05,2.15,20.0,1700.0,20,20,40,1,81,1.0,434,1167
600.0,1.15,2.05,2.15,20.0,1700.0,20,20,40,1,81,1.0,516,1328
700.0,1.15,2.05,2.15,20.0,1700.0,20,20,40,1,81,1.0,598,1488
800.0,1.15,2.05,2.15,20.0,1700.0,40,40,40,2,122,2.0,680,1649
900.0,1.15,2.05,2.15,20.0,1700.0,40,40,60,2,142,2.0,762,1810
1000.0,1.15,2.05,2.15,20.0,1700.0,40,40,60,2,142,2.0,844,1970
400.0,1.15,3.05,2.15,20.0,1700.0,20,20,40,1,81,1.0,352,1023
500.0,1.15,3.05,2.15,20.0,1700.0,20,20,40,1,81,1.0,434,1187
600.0,1.15,3.05,2.15,20.0,1700.0,20,20,60,1,101,2.0,516,1352
700.0,1.15,3.05,2.15,20.0,1700.0,20,20,60,1,101,2.0,598,1516
800.0,1.15,3.05,2.15,20.0,1700.0,40,40,60,2,142,2.0,680,1681
900.0,1.15,3.05,2.15,20.0,1700.0,40,40,80,2,162,2.0,762,1846
1000.0,1.15,3.05,2.15,20.0,1700.0,40,40,80,2,162,2.0,844,2010
400.0,1.15,2.05,2.15,20.0,1900.0,20,20,20,1,61,1.0,352,1007
500.0,1.15,2.05,2.15,20.0,1900.0,20,20,40,1,81,1.0,434,1167
600.0,1.15,2.05,2.15,20.0,1900.0,20,20,40,1,81,1.0,516,1328
700.0,1.15,2.05,2.15,20.0,1900.0,20,20,40,1,81,1.0,598,1488
800.0,1.15,2.05,2.15,20.0,1900.0,20,20,40,1,81,1.0,680,1649
900.0,1.15,2.05,2.15,20.0,1900.0,40,40,40,2,122,2.0,762,1810
1000.0,1.15,2.05,2.15,20.0,1900.0,40,40,60,2,142,2.0,844,1970
400.0,1.15,3.05,2.15,20.0,1900.0,20,20,40,1,81,1.0,352,1023
500.0,1.15,3.05,2.15,20.0,1900.0,20,20,40,1,81,1.0,434,1187
600.0,1.15,3.05,2.15,20.0,1900.0,20,20,40,1,81,1.0,516,1352
700.0,1.15,3.05,2.15,20.0,1900.0,20,20,60,1,101,2.0,598,1516
800.0,1.15,3.05,2.15,20.0,1900.0,20,20,60,1,101,2.0,680,1681
900.0,1.15,3.05,2.15,20.0,1900.0,40,40,60,2,142,2.0,762,1846
1000.0,1.15,3.05,2.15,20.0,1900.0,40,40,80,2,162,2.0,844,2010
